Year-Of-Publication,Book-Rating,Age,Page-Count,Genre,Review-Count,Year-Label,Rating-Label,Age-Label,Page-Count-Label,Genre-Label,Review-Count-Label
1953,1,57,747,Drama,60,Before 2000,Low,Adult,Long,Emotional,Many Reviews
1951,3,29,624,Romance,18,Before 2000,Low,Adult,Long,Emotional,Moderate Reviews
1955,10,17,239,Non-Fiction,75,Before 2000,High,Child,Medium,Other,Many Reviews
2003,8,16,174,Fantasy,8,After 2000,High,Child,Medium,Speculative Fiction,Few Reviews
1953,6,76,199,Fantasy,70,Before 2000,Medium,Senior,Medium,Speculative Fiction,Many Reviews
2003,8,26,363,Drama,27,After 2000,High,Adult,Long,Emotional,Moderate Reviews
2012,9,42,619,Romance,77,After 2000,High,Adult,Long,Emotional,Many Reviews
1967,4,57,391,Thriller,94,Before 2000,Medium,Adult,Long,Suspense,Many Reviews
1993,1,68,354,Fantasy,51,Before 2000,Low,Senior,Long,Speculative Fiction,Many Reviews
1983,1,31,741,Thriller,82,Before 2000,Low,Adult,Long,Suspense,Many Reviews
2011,10,39,731,Non-Fiction,15,After 2000,High,Adult,Long,Other,Moderate Reviews
1963,4,47,887,Fantasy,68,Before 2000,Medium,Adult,Long,Speculative Fiction,Many Reviews
1997,7,60,832,Fantasy,98,Before 2000,High,Adult,Long,Speculative Fiction,Many Reviews
1964,2,63,103,Mystery,11,Before 2000,Low,Adult,Medium,Suspense,Moderate Reviews
2021,3,17,493,Fantasy,24,After 2000,Low,Child,Long,Speculative Fiction,Moderate Reviews
2011,1,36,662,Science Fiction,51,After 2000,Low,Adult,Long,Speculative Fiction,Many Reviews
1989,5,36,313,Romance,84,Before 2000,Medium,Adult,Long,Emotional,Many Reviews
2002,1,30,102,Romance,99,After 2000,Low,Adult,Medium,Emotional,Many Reviews
1973,8,39,621,Thriller,52,Before 2000,High,Adult,Long,Suspense,Many Reviews
1975,1,37,669,Non-Fiction,22,Before 2000,Low,Adult,Long,Other,Moderate Reviews
2009,1,73,54,Fantasy,15,After 2000,Low,Senior,Short,Speculative Fiction,Moderate Reviews
1990,2,78,152,Science Fiction,56,Before 2000,Low,Senior,Medium,Speculative Fiction,Many Reviews
1978,2,70,245,Thriller,38,Before 2000,Low,Senior,Medium,Suspense,Moderate Reviews
1964,6,57,823,Mystery,52,Before 2000,Medium,Adult,Long,Suspense,Many Reviews
1994,7,28,926,Thriller,41,Before 2000,High,Adult,Long,Suspense,Moderate Reviews
2014,5,13,933,Thriller,57,After 2000,Medium,Child,Long,Suspense,Many Reviews
2020,1,44,399,Fantasy,38,After 2000,Low,Adult,Long,Speculative Fiction,Moderate Reviews
1958,1,73,96,Mystery,13,Before 2000,Low,Senior,Short,Suspense,Moderate Reviews
1950,3,58,916,Thriller,94,Before 2000,Low,Adult,Long,Suspense,Many Reviews
1957,2,26,872,Science Fiction,4,Before 2000,Low,Adult,Long,Speculative Fiction,Few Reviews
2012,5,53,985,Science Fiction,34,After 2000,Medium,Adult,Long,Speculative Fiction,Moderate Reviews
1960,10,39,869,Romance,86,Before 2000,High,Adult,Long,Emotional,Many Reviews
1957,6,55,705,Mystery,92,Before 2000,Medium,Adult,Long,Suspense,Many Reviews
1984,7,15,318,Mystery,74,Before 2000,High,Child,Long,Suspense,Many Reviews
1984,4,46,419,Romance,17,Before 2000,Medium,Adult,Long,Emotional,Moderate Reviews
1982,7,33,685,Thriller,75,Before 2000,High,Adult,Long,Suspense,Many Reviews
1954,8,55,155,Mystery,8,Before 2000,High,Adult,Medium,Suspense,Few Reviews
1990,1,62,719,Science Fiction,73,Before 2000,Low,Adult,Long,Speculative Fiction,Many Reviews
1977,6,69,708,Science Fiction,57,Before 2000,Medium,Senior,Long,Speculative Fiction,Many Reviews
1956,8,72,706,Fantasy,16,Before 2000,High,Senior,Long,Speculative Fiction,Moderate Reviews
2022,5,41,169,Mystery,6,After 2000,Medium,Adult,Medium,Suspense,Few Reviews
2021,4,42,880,Thriller,45,After 2000,Medium,Adult,Long,Suspense,Moderate Reviews
1961,2,76,836,Romance,12,Before 2000,Low,Senior,Long,Emotional,Moderate Reviews
1983,6,27,653,Romance,39,Before 2000,Medium,Adult,Long,Emotional,Moderate Reviews
1982,6,34,107,Thriller,41,Before 2000,Medium,Adult,Medium,Suspense,Moderate Reviews
1997,1,63,395,Non-Fiction,8,Before 2000,Low,Adult,Long,Other,Few Reviews
1972,9,67,790,Drama,49,Before 2000,High,Senior,Long,Emotional,Moderate Reviews
2011,6,76,523,Fantasy,26,After 2000,Medium,Senior,Long,Speculative Fiction,Moderate Reviews
